age_group,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
16-24,0.79150194662597,0.7759233803545003,0.7512608064131029,0.7509603283463618,0.745687518585479,0.7464019027057308,0.7378405511336464,0.7584718436796194,0.7554195118376559,0.7610172790895494,0.7735317123286194,0.771020258809146
25-34,0.8585313008278552,0.8623734213879342,0.8388619153376541,0.8273538600751351,0.8292106311632189,0.8346976915824429,0.8351580215957669,0.8364235269156786,0.8403159387625707,0.8462807440044663,0.8513187782191736,0.8542550774750592
35-44,0.8458191027239113,0.8464681729533724,0.8257766000165617,0.8295116768992571,0.8260473179619237,0.8335587653911759,0.8350235173213078,0.8395906987629688,0.8475977662274871,0.8405271100839358,0.8478880898305715,0.8535546241552711
45-54,0.8635058178809785,0.8562795250855358,0.8339384058637883,0.8214865825588129,0.8267378821034472,0.8311408393981093,0.8323227403483877,0.8414763629502269,0.843892702873418,0.8451267901502157,0.8416753202829909,0.8467813368683773
55+,0.6969607389558802,0.6872157825241099,0.6792133983669452,0.6749127897212559,0.6746510292221389,0.6769426692828682,0.6808308445373557,0.6906578535586415,0.6883053945769556,0.6946739371322769,0.6963890248972605,0.7002065459261261
