age_group,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
16-24,2010018.2443666668,2064821.6609166663,2032379.598249999,2083845.6790333341,2032704.212666666,2172462.081366666,2192990.3478750004,2314613.5878166663,2414919.6579833343,2429555.81565,2575218.1896333336,2530006.700528571
25-34,7882031.112375009,8065590.458599996,7896599.990583334,7945272.868124997,8067712.08206667,8324950.457658329,8668677.221283345,8851178.407399999,9161573.786816657,9437097.032174997,9868962.012075007,10276598.676657157
35-44,7834595.01758333,7730330.578716668,7322144.949641667,7339523.079600003,7253457.880266667,7372792.213408325,7510973.861599998,7524333.521900001,7716734.465800002,7746773.032308329,8115962.169116657,8526217.873171434
45-54,7305006.652233339,7367169.946550002,7146773.635850005,6958010.059358338,7094340.399774997,7275608.8477,7370129.586541663,7510523.073525,7680827.019199993,7761161.130208335,7788564.819233335,7872724.156657143
55+,4320565.981108335,4474483.961599997,4642443.255991668,4815467.388741668,4962119.84365,5324166.757758333,5449264.735741665,5618116.671024997,5762050.4448666675,5976495.299999998,6205862.594491663,6346864.944900001
