age_group,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
16-24,2539498.8009,2661115.405458333,2705291.6655583326,2774907.8085416676,2725946.4078499996,2910579.50615,2972173.790808334,3051680.3057416664,3196792.8020666675,3192510.712183333,3329169.507325,3281375.1281142854
25-34,9180831.385850009,9352781.821149996,9413468.231425,9603234.180116663,9729388.142008336,9973611.454316663,10379685.038191678,10582172.933416665,10902534.825541656,11151260.49958333,11592557.646525007,12029894.755828585
35-44,9262731.229824996,9132452.732091667,8866980.427266667,8848004.535675002,8780922.984125,8844957.931608325,8994924.940191664,8961906.715958335,9104241.154558334,9216565.342591662,9571973.313999992,9989071.152428577
45-54,8459707.509741673,8603697.426741669,8569905.865466671,8470022.769800005,8581124.142666662,8753761.700566666,8854893.93628333,8925411.816908333,9101663.03494166,9183428.120683335,9253645.237708334,9297233.906657143
55+,6199152.605900001,6511032.015541664,6835028.971975001,7134947.599275,7355091.1934,7865018.7074166685,8003845.271499999,8134442.60725833,8371357.380408334,8603310.100666665,8911488.223708328,9064275.365357146
